buyOrderCount,url,sellOrderList,buyOrderList,totalQty,sellOrderCount
0,http://backpack.tf/stats/Collector's/Your Worst Nightmare/Tradable/Craftable,,,only one,0
0,http://backpack.tf/stats/Collector's/Ze Goggles/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Your Worst Nightmare/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Yuri's Revenge/Tradable/Craftable,1.33 ref;1.33 ref,1.66 ref;1.77 ref;1.88 ref;1.88 ref;2 ref,"9,805",2
0,http://backpack.tf/stats/Haunted/Ze Goggles/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Your Worst Nightmare/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Your Eternal Reward/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Your Worst Nightmare/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Your Eternal Reward/Tradable/Craftable,"4 keys;3 keys, 9 ref",,125,2
0,http://backpack.tf/stats/Vintage/Your Eternal Reward/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Your Worst Nightmare/Tradable/Craftable,1.66 ref;1.66 ref;1.66 ref;1.66 ref;1.66 ref,2 ref;2.33 ref;2.33 ref;2.44 ref;2.88 ref,"25,064",5
0,http://backpack.tf/stats/Genuine/Your Eternal Reward/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Yellow Summer 2013 Cooler Key/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Your Worst Nightmare/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Yellow Summer 2013 Cooler Key/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Yuri's Revenge/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Yellow Summer 2013 Cooler Key/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Yellow Summer 2013 Cooler Key/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Yellow Summer 2013 Cooler Key/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/Your Eternal Reward/Tradable/Craftable,13 ref;13 ref;12.77 ref;12.77 ref;12.66 ref,13.66 ref;13.66 ref;13.66 ref;13.66 ref;13.66 ref,"28,263",5
0,http://backpack.tf/stats/Collector's/Ye Olde Rustic Colour/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Ye Olde Rustic Colour/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Ye Olde Rustic Colour/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Ye Olde Baker Boy/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Ye Olde Baker Boy/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Ye Olde Baker Boy/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Your Eternal Reward/Tradable/Craftable,,0.05 ref;0.05 ref;0.05 ref;0.05 ref;0.05 ref,"1,058,610",0
0,http://backpack.tf/stats/Vintage/Ye Olde Rustic Colour/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Vintage/Ye Olde Baker Boy/Tradable/Craftable,9.44 ref;9.33 ref;9.33 ref;9.22 ref;7 ref,9.33 ref;12.66 ref;13 ref;14 ref;15 ref,"10,770",5
0,http://backpack.tf/stats/Genuine/Ye Olde Baker Boy/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Ye Olde Baker Boy/Tradable/Craftable,1.22 ref;1.11 ref;1.11 ref;1.11 ref,1.33 ref;1.33 ref;1.33 ref;1.33 ref;1.55 ref,"22,049",4
1,http://backpack.tf/stats/Unique/Yellow Summer 2013 Cooler Key/Tradable/Craftable,1 key;15 ref,1 key,226,2
0,http://backpack.tf/stats/Strange/Ye Oiled Baker Boy/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Ye Oiled Baker Boy/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Ye Oiled Baker Boy/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Ye Olde Rustic Colour/Tradable/Craftable,2.22 ref;2 ref;2 ref;2 ref;1.77 ref,2.66 ref;2.66 ref;2.77 ref;2.88 ref;3 ref,"19,783",5
0,http://backpack.tf/stats/Collector's/Xeno Suit/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Xeno Suit/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Ye Oiled Baker Boy/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Xeno Suit/Tradable/Craftable,,,0,0
2,http://backpack.tf/stats/Genuine/Xeno Suit/Tradable/Craftable,6 ref;6 ref;6 ref;6 ref;5.33 ref,6.33 ref;8 ref,"7,833",5
3,http://backpack.tf/stats/Unique/Ye Oiled Baker Boy/Tradable/Craftable,1.22 ref,1.66 ref;2.88 ref;15 ref,"6,019",1
5,http://backpack.tf/stats/Unique/Xeno Suit/Tradable/Craftable,3 ref;2 ref;0.66 ref,2.44 ref;2.55 ref;2.55 ref;3 ref;4 ref,"3,260",3
0,http://backpack.tf/stats/Vintage/Xeno Suit/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Australium Wrench/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Ye Olde Rustic Colour/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Australium Wrench/Tradable/Craftable,,,0,0
4,http://backpack.tf/stats/Strange/Australium Wrench/Tradable/Craftable,"24 keys, 5 ref;24 keys, 3 ref;24 keys, 1 ref;24 keys, 1 ref;24 keys","24 keys, 16 ref;24 keys, 17 ref;26 keys;27 keys","2,438",5
0,http://backpack.tf/stats/Collector's/Australium Wrench/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Wrench/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Wrench/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Ye Oiled Baker Boy/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Australium Wrench/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Unique/Wrench/Tradable/Craftable,,,"10,191",0
0,http://backpack.tf/stats/Collector's/Wrap Battler/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Unique/Australium Wrench/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Wrench/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/Wrench/Tradable/Craftable,6 ref;6 ref;5.88 ref;5.88 ref;5.66 ref,5.88 ref;6 ref;6 ref;6.33 ref;6.33 ref,"48,528",5
0,http://backpack.tf/stats/Vintage/Wrap Battler/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Wrap Battler/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Wrench/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Wrap Assassin/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Wrap Battler/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/Wrap Assassin/Tradable/Craftable,1.11 ref;1.11 ref;1 ref;1 ref;1 ref,1.11 ref;1.33 ref;1.33 ref;1.33 ref;1.33 ref,"46,879",5
0,http://backpack.tf/stats/Vintage/Wrap Assassin/Tradable/Craftable,,,0,0
3,http://backpack.tf/stats/Unique/Wrap Battler/Tradable/Craftable,0.11 ref,0.33 ref;1.33 ref;2 ref,"34,867",1
2,http://backpack.tf/stats/Haunted/Wrap Battler/Tradable/Craftable,,4 ref;4 ref,"3,865",0
5,http://backpack.tf/stats/Unique/Wrap Assassin/Tradable/Craftable,,0.05 ref;0.05 ref;0.05 ref;0.05 ref;0.05 ref,"788,633",0
0,http://backpack.tf/stats/Haunted/Wrangler/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Collector's/Wrangler/Tradable/Craftable,4 keys;4 keys,7 keys;7 keys;7 keys;7 keys;8 keys,154,2
5,http://backpack.tf/stats/Strange/Wrangler/Tradable/Craftable,3.11 ref;3.11 ref;3 ref;3 ref;3 ref,3.55 ref;3.66 ref;3.66 ref;3.66 ref;3.66 ref,"9,223",5
0,http://backpack.tf/stats/Genuine/Wrap Assassin/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Wrangler/Tradable/Craftable,,0.05 ref;0.05 ref;0.05 ref;0.05 ref;0.05 ref,"1,070,833",0
0,http://backpack.tf/stats/Genuine/Wrangler/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Wraith Wrap/Tradable/Craftable,,,0,0
1,http://backpack.tf/stats/Collector's/Wrap Assassin/Tradable/Craftable,"1 key, 14 ref;1 key",3 keys,116,2
0,http://backpack.tf/stats/Genuine/Wraith Wrap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Wraith Wrap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Winter Woodsman/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Wraith Wrap/Tradable/Craftable,1.66 ref;1.11 ref;1 ref,1.44 ref;1.44 ref;1.55 ref;1.66 ref;1.66 ref,"16,591",3
5,http://backpack.tf/stats/Strange/Winter Woodsman/Tradable/Craftable,16.66 ref;16.66 ref;16 ref;16 ref;15 ref,"17 ref;1 key;1 key, 4 ref;1 key, 15 ref;2 keys","1,956",5
0,http://backpack.tf/stats/Genuine/Winter Woodsman/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Haunted/Wraith Wrap/Tradable/Craftable,7.44 ref;7.44 ref;7.44 ref;7.33 ref;7.22 ref,8 ref;8 ref;12 ref;12 ref;13 ref,"9,858",5
5,http://backpack.tf/stats/Vintage/Wrangler/Tradable/Craftable,1 ref;0.88 ref;0.77 ref;0.55 ref;0.55 ref,0.88 ref;0.88 ref;0.88 ref;1 ref;1 ref,"140,663",5
0,http://backpack.tf/stats/Collector's/Winter Wonderland Wrap/Tradable/Craftable,,,2,0
0,http://backpack.tf/stats/Haunted/Winter Woodsman/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Winter Wonderland Wrap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Wraith Wrap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Winter Wonderland Wrap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Winter Backup/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Winter Woodsman/Tradable/Craftable,1.44 ref;1.11 ref;1.11 ref,1.44 ref;1.66 ref;1.66 ref;1.66 ref;1.66 ref,"15,136",3
0,http://backpack.tf/stats/Vintage/Winter Woodsman/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/Winter Backup/Tradable/Craftable,12.11 ref;11.11 ref;11 ref;10.33 ref;10 ref,12 ref;12.33 ref;13 ref;16.55 ref;1 key,783,5
0,http://backpack.tf/stats/Haunted/Winter Backup/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Winter Backup/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Wingstick/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Winter Wonderland Wrap/Tradable/Craftable,2.33 ref;2.33 ref;2.11 ref;2 ref;2 ref,2.33 ref;2.33 ref;2.33 ref;2.33 ref;2.33 ref,"40,095",5
0,http://backpack.tf/stats/Strange/Wingstick/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Winter Backup/Tradable/Craftable,2.66 ref;2.66 ref;2.66 ref;2.55 ref;2.33 ref,2.88 ref;3 ref;3 ref;3 ref;3 ref,"5,516",5
0,http://backpack.tf/stats/Vintage/Wingstick/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Wingstick/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Winter Wonderland Wrap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Wings of Purity/Tradable/Craftable,"3 keys;2 keys, 9 ref;2 keys",,322,3
0,http://backpack.tf/stats/Genuine/Winter Backup/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Wingstick/Tradable/Craftable,1.11 ref,1.33 ref;1.33 ref;1.33 ref;1.33 ref;1.33 ref,"11,359",1
0,http://backpack.tf/stats/Vintage/Wings of Purity/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Wings of Purity/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Wingstick/Tradable/Craftable,3 ref;3 ref;2.77 ref;2.11 ref,,"2,762",4
0,http://backpack.tf/stats/Collector's/Wings of Purity/Tradable/Craftable,,,0,0
1,http://backpack.tf/stats/Collector's/Winger/Tradable/Craftable,"5 keys;3 keys, 3 ref",6 keys,135,2
0,http://backpack.tf/stats/Strange/Wings of Purity/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Winger/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/Winger/Tradable/Craftable,1.22 ref;1.11 ref;1.11 ref;1.11 ref;1 ref,1 ref;1 ref;1.11 ref;1.11 ref;1.11 ref,"46,122",5
0,http://backpack.tf/stats/Unique/Wings of Purity/Tradable/Craftable,9.33 ref;1 ref,,"2,031",2
0,http://backpack.tf/stats/Vintage/Winter Wonderland Wrap/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Winger/Tradable/Craftable,,0.05 ref;0.05 ref;0.11 ref;0.11 ref;0.11 ref,"1,057,946",0
0,http://backpack.tf/stats/Haunted/Wilson Weave/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Wilson Weave/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Winger/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Wilson Weave/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Wild West Waistcoat/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Wilson Weave/Tradable/Craftable,1.33 ref;1.22 ref,1.55 ref;1.55 ref;1.66 ref;1.66 ref;1.66 ref,"5,738",2
0,http://backpack.tf/stats/Collector's/Wild West Waistcoat/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Winger/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Wild West Waistcoat/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Wilson Weave/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/Widowmaker/Tradable/Craftable,"1 key, 4.33 ref;1 key, 4 ref;1 key, 3.66 ref;1 key, 3.33 ref;1 key, 3 ref","1 key, 3 ref;1 key, 7 ref;1 key, 8 ref;1 key, 8 ref;1 key, 13 ref","12,693",5
5,http://backpack.tf/stats/Unique/Wild West Waistcoat/Tradable/Craftable,3.66 ref;3.44 ref;3.33 ref;3.33 ref;3.33 ref,4 ref;4 ref;4.33 ref;5 ref;5.33 ref,"16,112",5
0,http://backpack.tf/stats/Collector's/Widowmaker/Tradable/Craftable,"12 keys;6 keys, 3 ref;6 keys, 2 ref",,153,3
4,http://backpack.tf/stats/Strange/Wild West Waistcoat/Tradable/Craftable,6 ref;5.66 ref;5.66 ref;5.66 ref;5.66 ref,6.22 ref;6.33 ref;8 ref;10 ref,"3,156",5
0,http://backpack.tf/stats/Haunted/Widowmaker/Tradable/Craftable,,,0,0
1,http://backpack.tf/stats/Genuine/Widowmaker/Tradable/Craftable,4.11 ref;4.11 ref;4.11 ref;4 ref;4 ref,5.66 ref,"30,157",5
5,http://backpack.tf/stats/Unique/Widowmaker/Tradable/Craftable,,0.05 ref;0.05 ref;0.11 ref;0.11 ref;0.11 ref,"993,623",0
0,http://backpack.tf/stats/Vintage/Widowmaker/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Whoopee Cap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Wild West Waistcoat/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Whoopee Cap/Tradable/Craftable,,,only one,0
5,http://backpack.tf/stats/Vintage/Whoopee Cap/Tradable/Craftable,7.22 ref;7.11 ref;6.77 ref;6.66 ref;6.11 ref,8 ref;8.88 ref;10 ref;12 ref;14 ref,"5,104",5
0,http://backpack.tf/stats/Genuine/Whoopee Cap/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Whoopee Cap/Tradable/Craftable,1.11 ref;1.11 ref;1 ref;1 ref,1.22 ref;1.22 ref;1.22 ref;1.33 ref;1.33 ref,"19,097",4
0,http://backpack.tf/stats/Strange/Whoopee Cap/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/White Russian/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/White Russian/Tradable/Craftable,9.33 ref;8.33 ref,12 ref;13 ref;13 ref;15 ref;15 ref,"1,210",2
0,http://backpack.tf/stats/Haunted/White Russian/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/White Russian/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Whiskey Bib/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/White Russian/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/White Russian/Tradable/Craftable,4.44 ref;4.33 ref;4.33 ref;4.33 ref;4.11 ref,4.33 ref;4.77 ref;4.77 ref;5 ref;5 ref,"8,625",5
5,http://backpack.tf/stats/Unique/Whiskey Bib/Tradable/Craftable,1.66 ref;1.44 ref;1.33 ref;1.33 ref;1.33 ref,1.55 ref;1.66 ref;1.83 ref;1.83 ref;1.88 ref,"18,422",5
5,http://backpack.tf/stats/Genuine/Wilson Weave/Tradable/Craftable,3.11 ref;3 ref;2.77 ref;2.66 ref;2.66 ref,3 ref;3 ref;3 ref;3 ref;3 ref,"87,513",5
0,http://backpack.tf/stats/Strange/Whiskey Bib/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Whiskey Bib/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Whiskered Gentleman/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Whiskered Gentleman/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Whiskey Bib/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Whiskey Bib/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Whiskered Gentleman/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Whirly Warrior/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Whirly Warrior/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Whiskered Gentleman/Tradable/Craftable,1.11 ref;1.11 ref;1 ref,1.22 ref;1.22 ref;1.27 ref;1.33 ref;1.33 ref,"25,103",3
0,http://backpack.tf/stats/Collector's/Whirly Warrior/Tradable/Craftable,,,only one,0
0,http://backpack.tf/stats/Genuine/Whirly Warrior/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Whirly Warrior/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Whiskered Gentleman/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Whirly Warrior/Tradable/Craftable,1.33 ref;1.11 ref;1 ref,1.22 ref;1.22 ref;1.33 ref;1.33 ref;1.33 ref,"14,366",3
5,http://backpack.tf/stats/Vintage/Whiskered Gentleman/Tradable/Craftable,8.44 ref;8.44 ref;8.33 ref;8.33 ref;8 ref,"9 ref;10 ref;12 ref;1 key, 3.66 ref;1 key, 5 ref","6,118",5
0,http://backpack.tf/stats/Collector's/Whale Bone Charm/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Whale Bone Charm/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Whale Bone Charm/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Whale Bone Charm/Tradable/Craftable,,,0,0
3,http://backpack.tf/stats/Unique/Whale Bone Charm/Tradable/Craftable,1 ref,1.33 ref;1.33 ref;1.44 ref,"2,584",1
0,http://backpack.tf/stats/Strange/Wet Works/Tradable/Craftable,,,0,0
2,http://backpack.tf/stats/Genuine/Whale Bone Charm/Tradable/Craftable,2.44 ref;2.44 ref;2.33 ref;2.33 ref;2.33 ref,3 ref;3 ref,"9,460",5
0,http://backpack.tf/stats/Collector's/Wet Works/Tradable/Craftable,,,only one,0
0,http://backpack.tf/stats/Haunted/Wet Works/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Wet Works/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Western Wear/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Western Wear/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Western Wear/Tradable/Craftable,,,only one,0
0,http://backpack.tf/stats/Haunted/Well-Rounded Rifleman/Tradable/Craftable,,,0,0
